tree_id,fractal_dim
4.2b_24,1.67885075211889
4.2b_25,1.95574563102082
4.2b_26,1.79152697822133
4.2b_27,1.93425531475536
4.2b_28,1.99627233007021
4.2b_29,1.83586496277342
4.2b_2,1.94531667834101
4.2b_30,1.87189286408872
4.2b_31,1.74729734497693
4.2b_32,1.77526978035249
4.2b_33,2.02744752754012
4.2b_34,2.0252926276433
4.2b_35,1.76289423702774
4.2b_36,2.00410302055439
4.2b_37,1.84166280961995
4.2b_38,1.91983390324297
4.2b_3,1.90415364269342
4.2b_41,1.91005166211879
4.2b_42,1.77494879981555
4.2b_43,1.86992326198133
4.2b_44,1.76015923084423
4.2b_45,1.72326522337228
4.2b_46,1.57591326840497
4.2b_47,1.97234880973497
4.2b_48,1.97276087306241
4.2b_4,1.86274705529417
4.2b_51,2.11673007984551
4.2b_52,1.70677955941344
4.2b_5,2.03972159871461
4.2b_69,1.89846643363017
4.2b_6,1.66882127040935
4.2b_76,1.89679182631924
4.2b_78,1.78718871756386
4.2b_86,1.70970444563582
4.2b_87,1.85877349135847
4.2b_88,2.01759024095339
4.2b_8,1.95069547822515
4.3_100,1.77963342303388
4.3_101,1.85598414906864
4.3_102,1.81567410054669
4.3_103,1.76661394614081
4.3_104,1.21693304142713
4.3_105,1.86143146915611
4.3_106,1.77630160448012
4.3_107,1.9148256341656
4.3_108,1.7189370220859
4.3_109,1.83699271428376
4.3_10,1.53315497655617
4.3_110,1.9345544696818
4.3_111,1.697062332062
4.3_112,1.92358362814471
4.3_113,1.89701995667883
4.3_114,1.96390198810912
4.3_115,1.77688390061954
4.3_116,1.93999646963116
4.3_117,1.6566547861883
4.3_11,1.728099354383
4.3_120,1.789686878332
4.3_121,1.7401517089703
4.3_122,1.97646388990581
4.3_123,1.7181458070724
4.3_124,1.83861344327896
4.3_125,1.92741010896127
4.3_126,1.37276594373975
4.3_127,1.80139004297303
4.3_128,1.97692700546376
4.3_129,1.69328449047759
4.3_12,1.97473225961126
4.3_130,1.85982194518808
4.3_132,1.85225346028072
4.3_133,1.97457834900718
4.3_135,1.75178573805678
4.3_136,1.73278294036624
4.3_137,1.53133546300046
4.3_138,1.69554441517344
4.3_139,1.9741639087899
4.3_13,1.44105584208385
4.3_140,1.7821695506182
4.3_141,1.79275369877183
4.3_142,1.95940306445306
4.3_143,1.8455810801054
4.3_144,1.70081939784901
4.3_145,1.73856096642673
4.3_146,1.77240956960181
4.3_147,1.8260434097069
4.3_148,1.55330458914309
4.3_149,1.76672670979696
4.3_14,1.73957420861617
4.3_150,1.90599461412056
4.3_151,1.90191665061109
4.3_153,1.96951933761152
4.3_156,1.66297309501327
4.3_157,1.42467405984931
4.3_15,1.19818125263491
4.3_160,1.87484422754299
4.3_161,1.79402941930693
4.3_162,1.84099844948261
4.3_163,1.85134315131513
4.3_164,1.75031518891863
4.3_167,2.05482267906255
4.3_168,1.76795807031451
